"Date","total_away","total_home","total_points_average"
2025-11-03,10842,15353,155
2025-11-04,2226,3209,150.972222222222
2025-11-05,2019,3195,148.971428571429
2025-11-06,2803,4002,154.659090909091
2025-11-07,5130,6542,153.578947368421
2025-11-08,4790,5932,157.676470588235
2025-11-09,2325,2931,154.588235294118
2025-11-10,2567,3617,154.6
2025-11-11,5654,6981,154.085365853659
2025-11-12,3546,4711,152.907407407407
2025-11-13,1742,2212,152.076923076923
2025-11-14,3454,4068,150.44
2025-11-15,5903,6788,154.768292682927
2025-11-16,2481,2739,153.529411764706
2025-11-17,2218,2962,152.352941176471
2025-11-18,4633,5766,152.926470588235
2025-11-19,3446,4057,150.06
2025-11-20,2674,3275,156.552631578947
2025-11-21,4995,5825,148.219178082192
2025-11-22,3166,3787,154.511111111111
2025-11-23,3097,3446,152.162790697674
2025-11-24,4504,4876,151.290322580645
NA,0,0,NA
